id,timestamp,open,high,low,close,volume,current_price,conditions,date
6469.0,1990-05-08,342.01,342.03,340.17,342.01,,,,
6430.0,1990-05-09,342.86,343.08,340.9,342.86,,,,
6391.0,1990-05-10,343.82,344.98,342.77,343.82,,,,
6352.0,1990-05-11,352.0,352.31,343.82,352.0,,,,
6313.0,1990-05-14,354.75,358.41,351.95,354.75,,,,
6274.0,1990-05-15,354.28,355.09,352.84,354.28,,,,
6235.0,1990-05-16,354.0,354.68,351.95,354.0,,,,
6196.0,1990-05-17,354.47,356.92,354.0,354.47,,,,
6157.0,1990-05-18,354.64,354.64,352.52,354.64,,,,
6118.0,1990-05-21,358.0,359.07,353.78,358.0,,,,
6079.0,1990-05-22,358.43,360.5,356.09,358.43,,,,
6040.0,1990-05-23,359.29,359.29,356.99,359.29,,,,
6001.0,1990-05-24,358.41,359.56,357.87,358.41,,,,
5962.0,1990-05-25,354.58,358.41,354.32,354.58,,,,
5923.0,1990-05-29,360.65,360.65,354.55,360.65,,,,
5884.0,1990-05-30,360.86,362.26,360.0,360.86,,,,
5845.0,1990-05-31,361.23,361.84,360.23,361.23,,,,
5806.0,1990-06-01,363.16,363.52,361.21,363.16,,,,
5767.0,1990-06-04,367.4,367.85,362.43,367.4,,,,
5728.0,1990-06-05,366.64,368.78,365.49,366.64,,,,
5689.0,1990-06-06,364.96,366.64,364.42,364.96,,,,
5650.0,1990-06-07,363.15,365.92,361.6,363.15,,,,
5611.0,1990-06-08,358.71,363.49,357.68,358.71,,,,
5572.0,1990-06-11,361.63,361.63,357.7,361.63,,,,
5533.0,1990-06-12,366.25,367.27,361.15,366.25,,,,
5494.0,1990-06-13,364.9,367.09,364.51,364.9,,,,
5455.0,1990-06-14,362.9,364.9,361.64,362.9,,,,
5416.0,1990-06-15,362.91,363.14,360.71,362.91,,,,
5377.0,1990-06-18,356.88,362.91,356.88,356.88,,,,
5338.0,1990-06-19,358.47,358.9,356.18,358.47,,,,
5299.0,1990-06-20,359.1,359.91,357.0,359.1,,,,
5260.0,1990-06-21,360.47,360.88,357.63,360.47,,,,
5221.0,1990-06-22,355.43,363.2,355.31,355.43,,,,
5182.0,1990-06-25,352.31,356.41,351.91,352.31,,,,
5143.0,1990-06-26,352.06,356.09,351.85,352.06,,,,
5104.0,1990-06-27,355.14,355.89,351.23,355.14,,,,
5065.0,1990-06-28,357.63,357.63,355.14,357.63,,,,
5026.0,1990-06-29,358.02,359.09,357.3,358.02,,,,
4987.0,1990-07-02,359.54,359.58,357.54,359.54,,,,
4948.0,1990-07-03,360.16,360.73,359.44,360.16,,,,
4909.0,1990-07-05,355.68,360.16,354.86,355.68,,,,
4870.0,1990-07-06,358.42,359.02,354.64,358.42,,,,
4831.0,1990-07-09,359.52,360.05,358.11,359.52,,,,
4792.0,1990-07-10,356.49,359.74,356.41,356.49,,,,
4753.0,1990-07-11,361.23,361.23,356.49,361.23,,,,
4714.0,1990-07-12,365.44,365.46,360.57,365.44,,,,
4675.0,1990-07-13,367.31,369.68,365.44,367.31,,,,
4636.0,1990-07-16,368.95,369.78,367.3,368.95,,,,
4597.0,1990-07-17,367.52,369.4,364.99,367.52,,,,
4558.0,1990-07-18,364.22,367.52,362.95,364.22,,,,
4519.0,1990-07-19,365.32,365.32,361.29,365.32,,,,
4480.0,1990-07-20,361.61,366.64,361.58,361.61,,,,
4441.0,1990-07-23,355.31,361.61,350.09,355.31,,,,
4402.0,1990-07-24,355.79,356.09,351.46,355.79,,,,
4363.0,1990-07-25,357.09,357.52,354.8,357.09,,,,
4324.0,1990-07-26,355.91,357.47,353.95,355.91,,,,
4285.0,1990-07-27,353.44,355.94,352.14,353.44,,,,
4246.0,1990-07-30,355.55,355.55,351.15,355.55,,,,
4207.0,1990-07-31,356.15,357.54,353.91,356.15,,,,
4168.0,1990-08-01,355.52,357.35,353.82,355.52,,,,
4129.0,1990-08-02,351.48,355.52,349.73,351.48,,,,
4090.0,1990-08-03,344.86,351.48,338.2,344.86,,,,
4051.0,1990-08-06,334.43,344.86,333.27,334.43,,,,
4012.0,1990-08-07,334.83,338.63,332.22,334.83,,,,
3973.0,1990-08-08,338.35,339.21,334.83,338.35,,,,
3934.0,1990-08-09,339.94,340.56,337.56,339.94,,,,
3895.0,1990-08-10,335.52,339.94,334.22,335.52,,,,
3856.0,1990-08-13,338.84,338.88,332.02,338.84,,,,
3817.0,1990-08-14,339.39,340.96,337.19,339.39,,,,
3778.0,1990-08-15,340.06,341.92,339.38,340.06,,,,
3739.0,1990-08-16,332.39,340.06,332.39,332.39,,,,
3700.0,1990-08-17,327.83,332.39,324.63,327.83,,,,
3661.0,1990-08-20,328.51,329.9,327.07,328.51,,,,
3622.0,1990-08-21,321.86,328.51,318.78,321.86,,,,
3583.0,1990-08-22,316.55,324.15,316.55,316.55,,,,
3544.0,1990-08-23,307.06,316.55,306.56,307.06,,,,
3505.0,1990-08-24,311.51,311.65,306.18,311.51,,,,
3466.0,1990-08-27,321.44,323.11,311.51,321.44,,,,
3427.0,1990-08-28,321.34,322.2,320.25,321.34,,,,
3388.0,1990-08-29,324.19,325.83,320.87,324.19,,,,
3349.0,1990-08-30,318.71,324.57,317.82,318.71,,,,
3310.0,1990-08-31,322.56,322.57,316.59,322.56,,,,
3271.0,1990-09-04,323.09,323.09,319.11,323.09,,,,
3232.0,1990-09-05,324.39,324.52,320.99,324.39,,,,
3193.0,1990-09-06,320.46,324.39,319.37,320.46,,,,
3154.0,1990-09-07,323.4,324.18,319.71,323.4,,,,
3115.0,1990-09-10,321.63,326.53,320.31,321.63,,,,
3076.0,1990-09-11,321.04,322.18,319.6,321.04,,,,
3037.0,1990-09-12,322.54,322.55,319.6,322.54,,,,
2998.0,1990-09-13,318.65,322.54,318.02,318.65,,,,
2959.0,1990-09-14,316.83,318.65,314.76,316.83,,,,
2920.0,1990-09-17,317.77,318.05,315.21,317.77,,,,
2881.0,1990-09-18,318.6,318.85,314.27,318.6,,,,
2842.0,1990-09-19,316.6,319.35,316.25,316.6,,,,
2803.0,1990-09-20,311.48,316.6,310.55,311.48,,,,
2764.0,1990-09-21,311.32,312.17,307.98,311.32,,,,
2725.0,1990-09-24,304.59,311.32,303.58,304.59,,,,
2686.0,1990-09-25,308.26,308.27,304.23,308.26,,,,
2647.0,1990-09-26,305.06,308.28,303.05,305.06,,,,
2608.0,1990-09-27,300.97,307.47,299.1,300.97,,,,
2569.0,1990-09-28,306.05,306.05,295.98,306.05,,,,
2530.0,1990-10-01,314.94,314.94,306.05,314.94,,,,
2491.0,1990-10-02,315.21,319.69,314.94,315.21,,,,
2452.0,1990-10-03,311.4,316.26,310.7,311.4,,,,
2413.0,1990-10-04,312.69,313.4,308.59,312.69,,,,
2374.0,1990-10-05,311.5,314.79,305.76,311.5,,,,
2335.0,1990-10-08,313.48,315.03,311.5,313.48,,,,
2296.0,1990-10-09,305.1,313.48,305.09,305.1,,,,
2257.0,1990-10-10,300.39,306.43,299.21,300.39,,,,
2218.0,1990-10-11,295.46,301.45,294.51,295.46,,,,
2179.0,1990-10-12,300.03,301.68,295.22,300.03,,,,
2140.0,1990-10-15,303.23,304.79,296.41,303.23,,,,
2101.0,1990-10-16,298.92,304.34,298.12,298.92,,,,
2062.0,1990-10-17,298.76,301.5,297.79,298.76,,,,
2023.0,1990-10-18,305.74,305.74,298.75,305.74,,,,
1984.0,1990-10-19,312.48,312.48,305.74,312.48,,,,
1945.0,1990-10-22,314.76,315.83,310.47,314.76,,,,
1906.0,1990-10-23,312.36,315.06,312.06,312.36,,,,
1867.0,1990-10-24,312.6,313.51,310.73,312.6,,,,
1828.0,1990-10-25,310.17,313.71,309.7,310.17,,,,
1789.0,1990-10-26,304.71,310.17,304.71,304.71,,,,
1750.0,1990-10-29,301.88,307.41,300.69,301.88,,,,
1710.0,1990-10-30,304.06,304.36,299.44,304.06,,,,
1670.0,1990-10-31,304.0,305.7,303.33,304.0,,,,
1630.0,1990-11-01,307.02,307.27,301.61,307.02,,,,
1590.0,1990-11-02,311.85,311.94,306.88,311.85,,,,
1550.0,1990-11-05,314.59,314.61,311.41,314.59,,,,
1510.0,1990-11-06,311.62,314.76,311.43,311.62,,,,
1470.0,1990-11-07,306.01,311.62,305.79,306.01,,,,
1430.0,1990-11-08,307.61,309.77,305.03,307.61,,,,
1390.0,1990-11-09,313.74,313.78,307.61,313.74,,,,
1350.0,1990-11-12,319.48,319.77,313.73,319.48,,,,
1310.0,1990-11-13,317.67,319.48,317.26,317.67,,,,
1270.0,1990-11-14,320.4,321.7,317.23,320.4,,,,
1230.0,1990-11-15,317.02,320.4,316.13,317.02,,,,
1190.0,1990-11-16,317.12,318.8,314.99,317.12,,,,
1150.0,1990-11-19,319.34,319.39,317.12,319.34,,,,
1110.0,1990-11-20,315.31,319.34,315.31,315.31,,,,
1070.0,1990-11-21,316.03,316.15,312.42,316.03,,,,
1030.0,1990-11-23,315.1,317.3,315.06,315.1,,,,
990.0,1990-11-26,316.51,316.51,311.48,316.51,,,,
950.0,1990-11-27,318.1,318.65,315.79,318.1,,,,
910.0,1990-11-28,317.95,319.96,317.62,317.95,,,,
870.0,1990-11-29,316.42,317.95,315.03,316.42,,,,
