value,Monthly_Percentage_Change,Annual_Percentage_Change,Cumulative_Sum,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,Trend,Seasonal,Residual,RSI,Rolling_3M_StdDev,Rolling_6M_StdDev,Rolling_12M_StdDev,Momentum_3M,Momentum_6M,Momentum_12M,Z_Score,Days_Since_Peak,Days_Since_Trough
0.05086980196601032,0.5366747145130433,0.3473169429896423,0.04789077922982141,0.04560094849972862,0.03772243805817954,0.02091881688167274,0.2001652422724061,0.0364454004305077,0.5148790897762957,0.6220281180648741,1.0,0.27571329942863165,0.21346201506030976,0.21762214349598552,0.40185988840669673,0.2818544995794768,0.20707451435198593,0.050869801966010375,0.0,0.06113097898971837
0.05301923021809518,0.49467026070288955,0.3372283870801158,0.05060682068857222,0.04896101838918243,0.0405122003583025,0.023916139897554256,0.20974543642687843,0.039425015784120054,0.33192027085696957,0.5983504225511571,1.0,0.17390701596654998,0.22136065013636066,0.21860724206096666,0.4142591444513299,0.26082842724978617,0.20127573209625832,0.05301923021809518,0.0,0.06459544032185964
0.055885134554208404,0.5360487897562536,0.33626941022862,0.05332868119704718,0.05160107330232466,0.04342325667147384,0.02691346291343555,0.21879591872955925,0.04231053802130336,0.27422996904651076,0.6054456971911258,1.0,0.1739070159665151,0.22136065013636322,0.21958905648051674,0.37706137631741976,0.27134146341463294,0.20127573209625832,0.055885134554208515,0.0,0.0680599016540009
0.05803456280629349,0.49420282599190035,0.33555293477974635,0.05605490599281527,0.054001123223363034,0.046213018971596576,0.029910785929317063,0.2263445218333168,0.045164695886342976,0.4930608413253772,0.5735792384007715,1.0,0.1739070159664867,0.21346201506032342,0.21464680831975808,0.36466212027278305,0.26082842724978916,0.20127573209625993,0.05803456280629349,0.0,0.07141260616897631
0.06304989539449157,0.6596994667923815,0.35245524887705904,0.05879131412560063,0.0573611931128164,0.049609251336963256,0.03303299740419363,0.2365653085534587,0.048081582495669295,0.6644621482496289,0.6649329887732844,1.0,0.2541146988308885,0.20952149176672333,0.22131972934878724,0.4142591444513334,0.3133936080740082,0.21287329660771187,0.06304989539449163,0.0,0.07487706750111757
0.06519932364657666,0.4935410971992583,0.36099750367890593,0.06153208654567911,0.06048125801016635,0.05252030765013482,0.036217653108567616,0.24482831665866017,0.05087301161642266,0.3679220017703577,0.652797853045091,1.0,0.2541146988308528,0.21952863696614947,0.21741135521558846,0.40185988840669673,0.27134146341463294,0.21867207886343787,0.06519932364657666,0.0,0.07822977201609298
0.0673487518986613,0.49334394838219664,0.3324752201408146,0.0642772232530507,0.0636013229075163,0.05531006995025711,0.03921497612444891,0.2514632872951158,0.05347625450431592,0.9443063096587696,0.6193903732864962,1.0,0.14855871124955006,0.22109008378769587,0.21592640503352944,0.4018598884066932,0.26082842724978617,0.20127573209625832,0.06734875189866146,0.0,0.08169423334823424
0.07021465623477474,0.5342860218743065,0.32232119799268294,0.06702817901014646,0.06600137282855467,0.05822112626342868,0.042149854910832785,0.2577308411905936,0.056142226136495665,1.0,0.6317725543635696,1.0,0.17390701596626962,0.2145067348501166,0.21762214349600095,0.36466212027278305,0.27134146341463294,0.19547694984053232,0.0702146562347748,0.0,0.0851586946803755
0.07093113231880288,0.4107832157714755,0.3037010204702297,0.06978058952967325,0.06792141276538533,0.060768300537453745,0.04495984523822161,0.2606879376773804,0.05883956214081909,0.30386833781565725,0.5746962172100983,1.0,0.13101646835259964,0.18499665789577144,0.2089366500544816,0.33986360818350614,0.23980235492009855,0.18387938532908038,0.0709311323188031,0.0,0.08828788556101923
0.07451351273894447,0.5748810312271411,0.31177687613834276,0.07254027386135525,0.0703214626864237,0.06355806283757648,0.04783227979510807,0.2649525654123985,0.06144280502871258,0.08712640178607406,0.6297864391655076,1.0,0.1591831476436903,0.15574107033101567,0.20402188462867366,0.36466212027278305,0.26082842724978617,0.18967816758480638,0.07451351273894463,0.0,0.09175234689316049
0.07666294099102955,0.49249684242137115,0.32027083717302085,0.07530432248033037,0.07248150761535821,0.06586264908550366,0.05076715858149172,0.2682255656875567,0.06392059042803266,0.0,0.623626106218337,1.0,0.20013096117109277,0.16088384674618716,0.19025947795319426,0.35226286422814634,0.21877628259041093,0.19547694984053232,0.07666294099102972,0.0,0.0951050514081359
0.07809589315908605,0.45144588178376827,0.2741669425877001,0.07807128062416754,0.07488155753639658,0.06804594132038244,0.0533898162203883,0.26970062732189437,0.06627291833877957,0.359567666311475,0.5767256556008659,1.0,0.12462151931626596,0.154363883403447,0.18203906607785653,0.36466212027278305,0.20826324642556412,0.16648303856190086,0.07809589315908622,0.0,0.09856951274027716
