date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,NonFarm_Value,NonFarm_Lag_1,NonFarm_Lag_3,NonFarm_Lag_12,NonFarm_Rolling_Mean_3M,NonFarm_Rolling_Mean_6M,NonFarm_Rolling_Mean_12M,NonFarm_EMA_12,NonFarm_EMA_26,NonFarm_EMA_50,NonFarm_Cumulative_Sum,NonFarm_Cumulative_Product,NonFarm_Trough,NonFarm_Days_Since_Trough
2001-01-01,0.7952800503461296,0.7961434892839708,0.7957365473774002,0.7977497431946585,0.7956171394491603,0.7958739584129151,0.7965313203288347,0.0068743448773453,0.016945033158642,0.0506979917604603,0.7955747010635752,0.4952188400203175,0.5826029252656577,0.795122104832232,0.7996019511128502,0.8581033168737804,0.6824671832463105,0.7968155481680195,0.7966203653136606,0.7905385584591609,0.4952188400203176,0.9704890387858348,0.7952800503461296,0.0135845749342681,0.721932410977546,0.7952800503461296,0.7954295154185022,0.7925503461296414,0.781985525487728,0.7949470316761066,0.7935966016362492,0.7910340623033353,0.7896800954835463,0.7775953686798613,0.75532728956955,250.7578193832599,0.0,0.0,
2001-02-01,0.7959644430459408,0.7959938900524385,0.7973240871646224,0.7986405367231637,0.796229300166308,0.7966050122632637,0.7976399456467493,0.0032368596617624,0.0156963335435104,0.0384807646065362,0.8002626578390601,0.49456498894469,0.5840092494202087,0.7958070255546267,0.7995146216802312,0.7763630301162721,0.6887174026319487,0.7977911069615198,0.7980143283039137,0.7922064621910399,0.4945649889446897,0.9673659673659674,0.7959644430459407,0.0,0.7229368499497781,0.7959644430459408,0.7952800503461296,0.7941315292636878,0.7828587161736941,0.7955580029368575,0.7943242605412207,0.7921262062093559,0.7906469181854532,0.7789560408551265,0.7569209034313692,251.55378382630585,0.0,0.0,
2001-03-01,0.7956891126494651,0.7966788970599815,0.798627291467566,0.8025247175141244,0.7963160010404106,0.7971239946363038,0.7984032068950373,0.0030762834995242,0.0132635365382474,0.0321363818124997,0.7948679606884858,0.4811131019097131,0.5854152028930205,0.7955314827352725,0.7992483002425889,1.0,0.6860578960344386,0.7985738385178298,0.7992841409427925,0.7937976573241021,0.4811131019097128,0.9462090163934428,0.795689112649465,0.0122699386503067,0.7238440851505039,0.7956891126494651,0.7959644430459408,0.7954295154185022,0.7866661422278162,0.7956445353471785,0.7948408328088945,0.7928781204111601,0.7914226404106858,0.7801955276547071,0.7584412253614906,252.3494729389553,0.0,0.0,
2001-04-01,0.7933606041535556,0.7964033195282113,0.7984772255175302,0.8047637390857729,0.7956749400318953,0.7972596676932155,0.7987838393571307,0.0143526656296508,0.0098826083631235,0.0266441395073354,0.783328790345321,0.46635328517638,0.5868180214574101,0.7932011777487348,0.7987509891224857,0.0,0.6848713058642097,0.7988746808172205,0.8002831912508,0.7952308817805349,0.46635328517638,0.8123537669630324,0.7933606041535557,0.0258545135845749,0.724848524122736,0.7933606041535556,0.7956891126494651,0.7952800503461296,0.7888609188168659,0.7950047199496538,0.7949758758128801,0.7932530941892176,0.7917207886788196,0.7811707185064737,0.759810612765101,253.14283354310885,0.0,0.0,
2001-05-01,0.7930144745122719,0.7940727209738122,0.7991643696045369,0.8065533513097072,0.7946897028261858,0.7970726232846579,0.7989867989741557,0.0146031935692149,0.0130344043393997,0.0240231605542156,0.7944653174235646,0.4595152978896238,0.5882203740218992,0.7928547810615468,0.7979803568773925,0.2849724047537165,0.6844404241889039,0.7990755078049581,0.8011819712986482,0.796593694876021,0.4595152978896241,0.7377725397760755,0.7930144745122718,0.0390008764241893,0.7258205618377994,0.7930144745122719,0.7933606041535556,0.7959644430459408,0.7906151667715545,0.7940213971050974,0.7947897000209775,0.793453036500944,0.7919198172685815,0.7820480337661624,0.7611127249904802,253.9358480176211,0.0,0.0,
2001-06-01,0.79210981749528,0.7937262806481583,0.7988879323281547,0.8061841936312275,0.7934942816832581,0.796516758915564,0.7991438431368374,0.0062062869954546,0.0172424411535916,0.0205715876233816,0.791317712562677,0.4577566534654342,0.5896215086321026,0.7919494260836689,0.7969317370490782,0.5673118079607775,0.682075673699666,0.7991050027350335,0.8019455238791863,0.7978659337471858,0.4577566534654342,0.634703196347032,0.7921098174952801,0.0525854513584574,0.7268250008100315,0.79210981749528,0.7930144745122719,0.7956891126494651,0.7902533039647578,0.7928282987203691,0.7942364170337738,0.7936077459618208,0.791949048072689,0.7827933510794304,0.7623282972455704,254.7279578351164,0.0,0.0,
2001-07-01,0.7911422278162367,0.7928208116151992,0.7965500627907528,0.8075324216743709,0.7927533833045645,0.7958239042754136,0.7991072438616365,0.0092218898862799,0.0211465229646188,0.0213758587760726,0.7909583868346446,0.4503301121239774,0.5910213405607657,0.7909810898899386,0.7957384570155864,0.4096668239594692,0.6853220118173962,0.7989797549526436,0.8025790901084561,0.7990485673279764,0.4503301121239772,0.52337752965806,0.7911422278162366,0.0657318141980718,0.7277970385250948,0.7911422278162367,0.79210981749528,0.7933606041535556,0.7915748898678413,0.7920888399412629,0.7935467799454584,0.7935716907908539,0.7918249218793886,0.7834117863932679,0.7634582553071652,255.51910006293264,0.0,0.0,
2001-08-01,0.7899701069855255,0.7918523534321215,0.7962025416433011,0.8075564971751412,0.791736618508272,0.794820187097097,0.7989694974986061,0.0106254035856755,0.0217487584655376,0.0247807623864647,0.7897988271146005,0.4464550742724654,0.592419594444311,0.7898080647446882,0.7944385150796595,0.7170789731476361,0.6825350087436188,0.7986918203719957,0.8030767774715549,0.8001367148129879,0.4464550742724653,0.48828125,0.7899701069855254,0.07931638913234,0.7288014774973269,0.7899701069855255,0.7911422278162367,0.7930144745122719,0.7915984896161107,0.7910740507656807,0.7925477239353892,0.793435992238305,0.7915395657418712,0.7838975879186203,0.7644979357651401,256.3090701699182,0.0,0.0,
2001-09-01,0.7879326620516048,0.7906791805111569,0.7952942477351889,0.8085676682074987,0.7903415226249871,0.7935214139503517,0.798575556209167,0.0163629062801642,0.0226042097931041,0.0335116726289756,0.7849015014436659,0.4366542982177512,0.5938151052829868,0.7877690478814677,0.7930769092313871,0.5467410088234601,0.6796598259239044,0.7981318980288388,0.8033829847355799,0.8010985653385536,0.4366542982177512,0.3577135832821143,0.7879326620516047,0.0929009640666082,0.7298059164695591,0.7879326620516048,0.7899701069855255,0.79210981749528,0.7925896790434236,0.7896816656177891,0.791254982169079,0.7930479074889867,0.7909846574818302,0.7841964822988414,0.7654169446391191,257.0970028319698,0.0,0.0,
2001-10-01,0.7854704216488356,0.7886399067760578,0.7943227681639037,0.8085275423728813,0.7884472398908094,0.7922002481631447,0.7979766589786008,0.0228941264992011,0.0320165704202592,0.0461350929869118,0.7824736758694398,0.4288087923836589,0.5952073011678243,0.7853049078112436,0.7917869668488139,0.4928309816373257,0.6719922678628736,0.7972758885222191,0.8034796594111965,0.8019216365007868,0.4288087923836589,0.2989158492514197,0.7854704216488357,0.1060473269062226,0.7307779541846224,0.7854704216488356,0.7879326620516048,0.7911422278162367,0.7925503461296414,0.7877910635619886,0.7899399517516258,0.792457913782253,0.7901363135075233,0.7842908481766188,0.7662033555022453,257.8824732536186,0.0,0.0,
