date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,PPI_Value,PPI_Lag_1,PPI_Lag_3,PPI_Lag_12,PPI_Rolling_Mean_3M,PPI_Rolling_Mean_6M,PPI_Rolling_Mean_12M,PPI_Cumulative_Sum,PPI_Cumulative_Product,PPI_Trend,PPI_EMA_12,PPI_EMA_26,PPI_EMA_50,PPI_Z_Score,PPI_Trough,PPI_Days_Since_Trough
1914-04-01,0.0051861263710821,0.0051861263710821,0.0055565639690165,0.0062974391648854,0.0051593353769334,0.004982974835977,0.004341219882787,0.0057428601408657,0.0081249028911805,0.0071661509315242,0.4691140910090128,0.4543494423791821,0.001729028021398,0.0051861263710822,0.0038699197506008,0.4096077759521961,0.4561940616871762,0.0041727388912926,0.0016447031016939,0.0004978973414094,0.454349442379182,0.3333333333333327,0.0051861263710821,0.019081908190819,0.0009284772972325,0.0051861263710821,0.0051861263710821,0.0055565639690165,0.0062974391648854,0.005309605570393568,0.005680043168328017,0.006050480766262458,0.0981659634526256,3.7716927488492404e-36,0.0059143129200781895,0.0059143129200781895,0.006205692477735575,0.0063879162281705575,-0.9449841467580031,0.0051861263710821,
1914-05-01,0.0048156887731477,0.0051861263710821,0.0055565639690165,0.005927001566951,0.0049076604804977,0.0046635533721323,0.0042432976297918,0.0057428601408656,0.0047430114694465,0.0087417019105396,0.4271963594891711,0.4541188966292837,0.0018409517102832,0.0048156887731477,0.0037229607727299,0.5924097258184133,0.4178726342707008,0.0039900217754479,0.0015296679127207,0.000426072560006,0.4541188966292836,0.2999999999999994,0.0048156887731476,0.0217821782178217,0.0,0.0048156887731477,0.0051861263710821,0.0055565639690165,0.005927001566951,0.005062647171770633,0.005371345170049317,0.0059578713667788495,0.1029816522257733,1.8163298426395873e-38,0.005745293820550422,0.005745293820550422,0.006102729240358695,0.00632626024954221,-0.9464222246794578,0.0048156887731477,
1914-06-01,0.0048156887731477,0.0048156887731477,0.0051861263710821,0.005927001566951,0.0047818230322798,0.0044719004938255,0.0041453753767966,0.0057428601408656,0.0035998971115454,0.0099425363582345,0.4691140910090128,0.4541188966292837,0.0019528753991683,0.0048156887731477,0.0036086593454969,0.5764874532696354,0.4327094691563289,0.0038354149851178,0.0014231538488566,0.0003570644366969,0.4541188966292836,0.2999999999999994,0.0048156887731476,0.0245724572457245,0.0009284772972325,0.0048156887731477,0.0048156887731477,0.0051861263710821,0.005927001566951,0.0049391679724591665,0.0051861263710821,0.0058652619672952405,0.10779734099892099,8.746879231532589e-41,0.005602277659411542,0.005602277659411542,0.006007392909454177,0.0062670221524287,-0.9464222246794578,0.0048156887731477,
1914-07-01,0.0048156887731477,0.0048156887731477,0.0051861263710821,0.0062974391648854,0.0046559855840619,0.0043441319082877,0.004014812372803,0.0,0.003022862242725,0.0106248714905919,0.4691140910090128,0.4452044609665427,0.0020647990880535,0.0048156887731477,0.0035596730195399,0.9331010762773816,0.4246750573688285,0.0037045938548384,0.0013245297156492,0.0002907625143019,0.4452044609665427,0.3333333333333327,0.0048156887731476,0.0272727272727272,0.0018270037139091,0.0048156887731477,0.0048156887731477,0.0051861263710821,0.0062974391648854,0.0048156887731477,0.005062647171770633,0.005741782767983767,0.11261302977206869,4.212224811537027e-43,0.00548126398460172,0.00548126398460172,0.0059191185289870305,0.006210107117947092,-0.9464222246794578,0.0048156887731477,
1914-08-01,0.0062974391648854,0.0048156887731477,0.0048156887731477,0.0062974391648854,0.0051593353769334,0.0044719004938255,0.004014812372803,0.0229714405634625,0.0084480934450655,0.0106248714905919,0.6382304561063062,0.4817843866171004,0.0021805822144864,0.0062974391648855,0.0035596730195399,1.0,0.619566254468042,0.0038403356145495,0.0013558391184223,0.0002947521438945,0.4817843866171004,0.5384615384615383,0.0062974391648854,0.03006300630063,0.0027554810111417,0.0062974391648854,0.0048156887731477,0.0048156887731477,0.0062974391648854,0.0053096055703936,0.0051861263710821165,0.005741782767983767,0.11891046893695409,2.6526229499475295e-45,0.005606829396953055,0.005606829396953055,0.005947142279794317,0.006213531904101535,-0.9406699129936384,0.0048156887731477,
1914-09-01,0.0066678767628199,0.0062974391648854,0.0048156887731477,0.0070383143607543,0.0057885226180229,0.0047274376649013,0.0039821716218046,0.0263170913010615,0.0136440499668456,0.0098438079684447,0.5099838792408585,0.472789322932537,0.0022973302003062,0.0066678767628199,0.0035760017948589,0.998049946976124,0.6669111250367559,0.0040168031671766,0.0014154863173331,0.0003155081865745,0.472789322932537,0.5384615384615383,0.0066678767628199,0.0328532853285328,0.0036839583083742,0.0066678767628199,0.0062974391648854,0.0048156887731477,0.0070383143607543,0.005927001566951,0.005433084769705083,0.0057109129681559,0.125578345699774,1.7687362928477906e-47,0.005770067453240262,0.005770067453240262,0.006000530019277694,0.006231349349541471,-0.9392318350721832,0.0048156887731477,
1914-10-01,0.0051861263710821,0.0066678767628199,0.0048156887731477,0.0070383143607543,0.0059143600662408,0.0047274376649013,0.0038189678668126,0.0207061767057095,0.0136440499668456,0.0080126326752559,0.3069860054611947,0.4368090681942835,0.0024102187485783,0.0051861263710822,0.0036086593454969,0.6339485248111885,0.4798847235275376,0.0039196853032981,0.0013480871605816,0.000267758790197,0.4368090681942836,0.4117647058823527,0.0051861263710821,0.0355535553555355,0.0045824847250509,0.0051861263710821,0.0066678767628199,0.0048156887731477,0.0070383143607543,0.006050480766262466,0.005433084769705083,0.005556563969016551,0.1307644720708561,9.172889931827918e-50,0.005680230363677468,0.005680230363677468,0.005940203823115057,0.0061903602131313,-0.9449841467580031,0.0048156887731477,
1914-11-01,0.0051861263710821,0.0051861263710821,0.0062974391648854,0.0066678767628199,0.0055368477215871,0.0047913219576702,0.003688404862819,0.0229714405634625,0.0128003129818355,0.0064848181781964,0.4691140910090128,0.4455067744016713,0.0025231072968504,0.0051861263710822,0.0036739744467729,0.3600908034378847,0.4826590789485268,0.0038375086492471,0.0012856805339599,0.0002218819191675,0.4455067744016713,0.3333333333333333,0.0051861263710821,0.0383438343834383,0.0055109620222834,0.0051861263710821,0.0051861263710821,0.0062974391648854,0.0066678767628199,0.005680043168328034,0.005494824369360816,0.005433084769705066,0.1359505984419382,4.7571766374486256e-52,0.005604214364816642,0.005604214364816642,0.005884346234075579,0.006150978493835253,-0.9449841467580031,0.0048156887731477,
1914-12-01,0.0048156887731477,0.0051861263710821,0.0066678767628199,0.005927001566951,0.0049076604804977,0.0047913219576702,0.0035904826098238,0.0057428601408658,0.0128003129818355,0.0065287428902755,0.4271963594891711,0.4541188966292837,0.0026350309857355,0.0048156887731477,0.0037556183233678,0.0,0.4373732636112351,0.003706365416794,0.0011972396092633,0.0001608812719697,0.4541188966292836,0.3125,0.0048156887731476,0.041044104410441,0.0064094884389601,0.0048156887731477,0.0051861263710821,0.0066678767628199,0.005927001566951,0.005062647171770633,0.005494824369360816,0.0053404753702214584,0.14076628721508588,2.2909082124841872e-54,0.005482902735329112,0.005482902735329112,0.005805186422154995,0.006098614191063192,-0.9464222246794578,0.0048156887731477,
1915-01-01,0.0055565639690165,0.0048156887731477,0.0051861263710821,0.0055565639690165,0.0050334979287156,0.0049190905432081,0.0035904826098238,0.0099469255447416,0.0113476608070492,0.0065287428902755,0.5536722735576601,0.4817843866171004,0.0027488843933945,0.0055565639690166,0.0038372621999628,0.3912781377320584,0.5102870790149012,0.0037186163473844,0.0011766638864898,0.0001361185453148,0.4817843866171004,0.4117647058823533,0.0055565639690166,0.0438343834383438,0.0073379657361926,0.0055565639690165,0.0048156887731477,0.0051861263710821,0.0055565639690165,0.005186126371082099,0.005618303568672284,0.0053404753702214584,0.14632285118410238,1.2729578029813632e-56,0.00549423523281948,0.00549423523281948,0.005786769944144736,0.006077357319610381,-0.9435460688365483,0.0048156887731477,
