date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,PCE_Value,PCE_Lag_1,PCE_Lag_3,PCE_Lag_12,PCE_Rolling_Mean_3M,PCE_Rolling_Mean_6M,PCE_Rolling_Mean_12M,PCE_Cumulative_Sum,PCE_Cumulative_Product,PCE_Trend,PCE_EMA_12,PCE_EMA_26,PCE_EMA_50,PCE_Z_Score,PCE_Peak,PCE_Days_Since_Peak
2002-09-01,0.0657773368162405,0.0677151866703001,0.0612854537450475,0.0388612099644127,0.0610448712589868,0.0545835406455438,0.0416231980192569,0.0075004488639597,0.0354505825055687,0.0239655949177076,0.5610883201362791,0.4509331595289289,0.0665242610930776,0.0597720517681199,0.0520585392236767,0.8754853932974243,0.7265474470251592,0.0588388374421707,0.049362134477695,0.0384446395075634,0.450933159528929,0.6373691030856103,0.0657773368162404,0.046337817638266,0.1092173132989459,0.0657773368162405,0.0674128562680702,0.0604289556704468,0.0359736766632303,0.06621399208852996,0.06275821441582503,0.056943464769154066,1.2358946136375972,0.0,0.05691232457549215,0.05691232457549215,0.04535410620037194,0.03229589346556594,-1.2434091376199166,0.0674128562680702,
2002-10-01,0.0691646448752432,0.0660723323081714,0.0663794729891202,0.056102156164957,0.0622962297274704,0.0562071922339963,0.0431340379388691,0.0138969111016612,0.0403335765858839,0.0338307347403808,0.6055243306163319,0.3962755316765594,0.0687194827010118,0.0631811338123209,0.0544148723854893,0.9799906716661156,0.7336363303251332,0.0607876171262894,0.0512817434466491,0.040165742020877,0.3962755316765597,0.6395207697845642,0.0691646448752432,0.0,0.1125812962547656,0.0691646448752432,0.0657773368162405,0.0654517831812792,0.0519335560533598,0.06745161265318463,0.06434335056700595,0.058379388837644354,1.3050592585128404,0.0,0.058797296929300004,0.058797296929300004,0.04711784980591796,0.03374172685418073,-1.2303194814430254,0.0691646448752432,
2002-11-01,0.0713815101037896,0.0694748316268929,0.068368341613735,0.0535398785848858,0.0636337986958702,0.0585215904639913,0.0450472247916394,0.0251210326566996,0.0331138096296357,0.0386303667951754,0.5950446600631316,0.4153032687735769,0.0709231483774294,0.0654122492920498,0.0567483285263135,0.80333185546246,0.7410213037281492,0.0627891856761715,0.0532378831444296,0.041922837747598,0.4153032687735768,0.819136734839276,0.0713815101037896,0.0,0.1160574119757793,0.0713815101037896,0.0691646448752432,0.0674128562680702,0.0495616652843556,0.06877449726509109,0.06660284781917826,0.06019770923926385,1.37644076861663,0.0,0.060733329725375325,0.060733329725375325,0.04891515797613068,0.03521779678553794,-1.2217527957071193,0.0713815101037896,
2002-12-01,0.0757299765136306,0.0717016389613424,0.0667096409030879,0.0522336194264182,0.0669881708744356,0.0611337243153404,0.0474477135887919,0.030268157822744,0.0351055361268937,0.042086789419801,0.6136624106774073,0.4382305545072019,0.0731433774189488,0.0697886681176717,0.0592699225561622,0.7639787214412195,0.7616790062099446,0.0651744612709867,0.0553996975774558,0.0438140223330226,0.4382305545072018,0.7637085083231618,0.0757299765136306,0.0,0.119421394931599,0.0757299765136306,0.0713815101037896,0.0657773368162405,0.0483524660687848,0.0720920438308878,0.06915301795970889,0.062479168443001,1.4521707451302606,0.0,0.06304050615433768,0.06304050615433768,0.0509014408307603,0.03680650971605138,-1.2049489121482269,0.0757299765136306,
2003-01-01,0.0773887497965291,0.0760696071943006,0.0701449594365134,0.0537324680761984,0.0697599690687176,0.0631715592348327,0.0498719897890873,0.0279058877304005,0.0439114351292844,0.0417589289902356,0.589967320467471,0.4390585025422872,0.0753699247494732,0.0714581041759303,0.0618198567761906,0.8999229297122326,0.7487930415583444,0.0674566057977875,0.0575351081428544,0.0457084774671902,0.4390585025422873,0.8402453398496303,0.0773887497965289,0.0,0.1228975106526127,0.0773887497965291,0.0757299765136306,0.0691646448752432,0.0497399446558821,0.0748334121379831,0.07114251239558388,0.06478323553805491,1.5295594949267897,0.0,0.06524792825313636,0.06524792825313636,0.05286346371711354,0.038397970111364234,-1.1985388745696113,0.0773887497965291,
2003-02-01,0.0779545930192,0.0777358196753221,0.0723932457078172,0.0571320912706718,0.0719753176726301,0.0649712056572415,0.0520699458394813,0.0085474522454711,0.0475343626698052,0.0399336656098952,0.5804406753375233,0.427951855692478,0.0775986273841908,0.0720275847004764,0.0645828545946789,0.785292804404861,0.7338672982017123,0.0694776507544324,0.0595579585078613,0.0475550548667981,0.427951855692478,0.8794893354550242,0.0779545930191999,0.0,0.1263736263736263,0.0779545930192,0.0773887497965291,0.0713815101037896,0.0528869631271752,0.07702443977645324,0.07289946852077217,0.06687220469572365,1.6075140879459897,0.0,0.06720279975560768,0.06720279975560768,0.05472206588763846,0.03994921022539701,-1.1963522729656915,0.0779545930192,
2003-03-01,0.0828301462665974,0.0783042005683809,0.0768033457015282,0.0586560602888841,0.074368312155158,0.0678823983993733,0.054571701010013,0.0268047640106004,0.0473901070564269,0.0424932524845601,0.6178042600814949,0.4417189489623942,0.0798459010646287,0.0769344785352645,0.0676616918820378,0.6325974189923613,0.758992044260216,0.0719632416182233,0.0618240358920106,0.0495568174427442,0.4417189489623943,0.889992879721001,0.0828301462665974,0.0,0.1295133437990581,0.0828301462665974,0.0779545930192,0.0757299765136306,0.0542976955453411,0.07939116302744216,0.07574160342916499,0.06924990892249501,1.6903442342125872,0.0,0.06960700691114456,0.06960700691114456,0.056804145915709495,0.04163081556034605,-1.1775115550360244,0.0828301462665974,
2003-04-01,0.084612939981862,0.0832016194962432,0.0784856298346017,0.0644421184844044,0.0768031056679484,0.0705196743698591,0.0567601420991499,0.0313321640202889,0.046288088742302,0.0503673177146312,0.5908600327490067,0.426302580680556,0.0820999654295112,0.0787287322427389,0.0707156034599615,0.0,0.7746581426837764,0.0743499942327506,0.0640659847716269,0.0515633036821998,0.426302580680556,0.886110534990882,0.084612939981862,0.0,0.1329894595200717,0.084612939981862,0.0828301462665974,0.0773887497965291,0.0596538279681577,0.08179922642255312,0.07831631928026812,0.07132983492363702,1.7749571741944492,0.0,0.07191561199894725,0.07191561199894725,0.05886405658727635,0.043316389067072164,-1.1706222623113447,0.084612939981862,
2003-05-01,0.0858376417514786,0.0849924086113598,0.0790594931136406,0.0624659828344148,0.0794599565290085,0.0729875718535298,0.0592163613836657,0.012090213495422,0.0390842583528677,0.0472327659560938,0.5860292299985563,0.4389094025696056,0.08435869469936,0.079961306528743,0.0737579058033539,0.3360951049262723,0.7450945683369392,0.0765643477657693,0.0662405989923753,0.0535482755639751,0.4389094025696056,0.885559790046248,0.0858376417514785,0.0,0.1363534424758914,0.0858376417514786,0.084612939981862,0.0779545930192,0.0578245265907558,0.08442690933331266,0.08072567455488296,0.07366426118703061,1.8607948159459278,0.0,0.07405746273010591,0.07405746273010591,0.06086209993277281,0.04498388917234301,-1.1658896177439557,0.0858376417514786,
2003-06-01,0.0896590213237631,0.0862226028730486,0.0840041506823471,0.0652794640988067,0.0817615156328374,0.0753654870160803,0.061779284162279,0.0232276789092008,0.0452935953051164,0.0480346151426284,0.6082233322299057,0.4432644030505787,0.0866319796536922,0.0838072503451986,0.0767944035294804,0.7099584883247871,0.7387692748147661,0.0790458369599853,0.0685622108355696,0.0556337945818024,0.443264403050579,0.8808044570827973,0.0896590213237631,0.0,0.1398295581969051,0.0896590213237631,0.0858376417514786,0.0828301462665974,0.0604289556704468,0.08670320101903456,0.08304718202323837,0.07610009999147362,1.950453837269691,0.0,0.07645770251374548,0.07645770251374548,0.06299520522099432,0.04673585513906536,-1.1511225685558384,0.0896590213237631,
