date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Unemployment_Rate_Cumulative_Sum,Unemployment_Rate_Trough,Unemployment_Rate_Days_Since_Trough
1963-03-01,0.2601626016260163,0.2764227642276423,0.2439024390243902,0.2520325203252032,0.3089171974522294,0.3687374749498998,0.3825799338478501,0.0183858013478485,0.0331310870465745,0.0235788572321132,0.0610826376211608,0.1688189400053807,0.1696001530514635,0.260162601626015,0.3880597014925372,0.0433626134974289,0.3434088206731313,0.4066710449473698,0.4373774327501143,0.4511508238725187,0.1688189400053807,0.4782608695652175,0.2601626016260162,0.3592959295929593,0.1381472647534046,35.15447154471541,0.0,
1963-04-01,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.2520325203252032,0.3089171974522293,0.374749498997996,0.3836824696802646,0.0183858013478485,0.0238020755819026,0.0242217836764017,0.0743578188373141,0.1688189400053807,0.1706906447292902,0.260162601626015,0.3880597014925372,1.0,0.330360017988287,0.4064591489247562,0.4360484394689543,0.4506274636348292,0.1688189400053807,0.55,0.2601626016260162,0.3615694902823615,0.1393398476571516,35.41463414634143,0.0,
1963-05-01,0.2764227642276423,0.2601626016260163,0.2764227642276423,0.2439024390243902,0.3089171974522293,0.3787575150300601,0.3880926130099227,0.0183858013478485,0.0283301365364865,0.0281662961398101,0.0880987958856131,0.1841123095360384,0.1718193992730055,0.276422764227641,0.388612493090105,0.8041869060800835,0.3568505639392738,0.4104863467310754,0.437148565863496,0.4516175689744451,0.1841123095360383,0.5714285714285716,0.2764227642276422,0.3637697103043638,0.1404939601446487,35.69105691056907,0.0,
1963-06-01,0.2520325203252032,0.2764227642276423,0.2601626016260163,0.2439024390243902,0.3057324840764333,0.3807615230460922,0.3891951488423372,0.0243221290105216,0.0230462605834697,0.0269515443384157,0.0544450470130842,0.168909433316213,0.1728907595178878,0.252032520325202,0.388612493090105,0.7923588440729219,0.3204486078083493,0.407584233982857,0.4346711878205737,0.4503294341840603,0.1689094333162129,0.5,0.2520325203252031,0.366043270993766,0.1416865430483957,35.94308943089427,0.0,
1963-07-01,0.2520325203252032,0.2520325203252032,0.2601626016260163,0.2357723577235772,0.302547770700637,0.3787575150300601,0.3914002205071664,0.0275787020217726,0.0257091799883689,0.0226213570019084,0.0743578188373141,0.1741647485526958,0.1739621197627701,0.252032520325202,0.3880597014925372,0.5733987444970126,0.3238687706191995,0.4051286001189801,0.4323773192623123,0.4490918144834946,0.1741647485526957,0.5217391304347826,0.2520325203252031,0.3682434910157682,0.1428406555358929,36.19512195121947,0.0,
1963-08-01,0.2357723577235772,0.2520325203252032,0.2764227642276423,0.2601626016260163,0.2866242038216561,0.3687374749499,0.3880926130099227,0.018385801347845,0.0309198031750863,0.0268978317231517,0.0603714671988669,0.1491723659431064,0.1749952171417639,0.2357723577235762,0.3847429519071308,0.4266020867806759,0.3042220314373243,0.3988442616394765,0.4279226911646025,0.4464097872424176,0.1491723659431063,0.4800000000000001,0.2357723577235772,0.3705170517051705,0.1440332384396399,36.430894308943046,0.0,
1963-09-01,0.2439024390243902,0.2357723577235772,0.2520325203252032,0.2520325203252032,0.2834394904458599,0.3647294589178357,0.3869900771775083,0.0159225710361662,0.0324107599734075,0.0280100286921782,0.0816100011683607,0.1588646758138284,0.1760474459537019,0.2439024390243891,0.380320619126589,0.2015778325204564,0.323633756117671,0.3956299916849312,0.4249633733830496,0.4445794083634141,0.1588646758138283,0.5199999999999999,0.2439024390243901,0.3727906123945728,0.1452258213433869,36.674796747967434,0.0,
1963-10-01,0.2439024390243902,0.2439024390243902,0.2520325203252032,0.2357723577235772,0.2802547770700638,0.3607214428857715,0.3880926130099227,0.0091929006739146,0.0324107599734075,0.0255846884300196,0.0743578188373141,0.1690032782311502,0.1770996747656399,0.2439024390243891,0.3764510779436152,0.2233986610008571,0.3269423978717009,0.3929102248003158,0.4222232643260562,0.4428208090482933,0.1690032782311501,0.4545454545454545,0.2439024390243901,0.374990832416575,0.146379933830884,36.91869918699182,0.0,
1963-11-01,0.2601626016260163,0.2439024390243902,0.2357723577235772,0.2601626016260163,0.2898089171974523,0.3567134268537075,0.3880926130099227,0.0183858013478456,0.0197356384842143,0.0255846884300196,0.0885984677782785,0.1638418079096045,0.1781901664434665,0.260162601626015,0.3698175787728026,0.0528059872478792,0.3609129469063553,0.3948153780310951,0.4220168020392708,0.4426241160586125,0.1638418079096045,0.5217391304347828,0.2601626016260162,0.3772643931059772,0.147572516734631,37.17886178861784,0.0,
1963-12-01,0.2439024390243902,0.2601626016260163,0.2439024390243902,0.2439024390243902,0.2898089171974523,0.3547094188376754,0.3880926130099227,0.0183858013478456,0.0194343133316085,0.0255846884300196,0.0606168417890151,0.1638418079096045,0.1792423952554045,0.2439024390243891,0.3631840796019899,0.0640579726918062,0.3417875484281917,0.3922209363239931,0.419494957526261,0.4409421948730917,0.1638418079096045,0.5217391304347826,0.2439024390243901,0.3794646131279794,0.1487266292221281,37.422764227642226,0.0,
