date,value,Monthly_Percentage_Change,Annual_Percentage_Change,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,RSI,Consumer_Sentiment_Rolling_6M_Avg,Consumer_Sentiment_Rolling_12M_Avg
2007-08-01,0.5387096774193549,0.352451828340902,0.5379573063023784,0.582308142940832,0.5842137973896833,0.6293766011955595,0.5963560534088287,0.4735066559968781,0.5991935483870968,0.636962365591398
2007-09-01,0.5387096774193549,0.5862526465921841,0.4875657150005518,0.5711775043936734,0.5686761963952764,0.6259607173356108,0.5708780298694885,0.4765907479404662,0.5857526881720431,0.6342741935483871
2007-10-01,0.4983870967741937,0.4957439365462954,0.3478557142003057,0.5155243116578795,0.5494095711622125,0.6042698548249359,0.5360888430136929,0.4797009209998562,0.5690860215053765,0.6172043010752689
2007-11-01,0.4209677419354838,0.4071058144262005,0.3005154694933523,0.4727592267135326,0.5114978247358606,0.576942783945346,0.4800964469471418,0.3528702106822062,0.5362903225806451,0.5956989247311829
2007-12-01,0.4112903225806452,0.5624468339735442,0.2968581943044779,0.4264792032806094,0.4810441267868242,0.5492741246797608,0.4342513764660947,0.164242312435785,0.5099462365591398,0.5739247311827957
2008-01-01,0.4580645161290324,0.7022284697005217,0.2791177094027042,0.4118336262448742,0.4437538844002486,0.5176771989752349,0.4186468045860189,0.253507704676404,0.4776881720430108,0.5490591397849462
2008-02-01,0.3354838709677419,0.2935585610029694,0.2372835315878597,0.3807850029291152,0.4045991298943441,0.4826643894107598,0.3616091695429174,0.1792661599273484,0.4438172043010753,0.5215053763440861
2008-03-01,0.314516129032258,0.5308122265742452,0.2506411828328612,0.3456356180433507,0.3614045991298942,0.4503842869342445,0.3119418892409732,0.0448571419097929,0.4064516129032258,0.49610215053763446
2008-04-01,0.203225806451613,0.2864877989202009,0.1666580813599905,0.2530755711775044,0.3045369794903663,0.4085397096498719,0.2337865302194301,0.0364713877851732,0.357258064516129,0.4631720430107527
2008-05-01,0.1580645161290322,0.4512009279345744,0.1150406186267709,0.1886350322202695,0.2538844002486013,0.3598633646456022,0.1597016083503509,0.0370999762285572,0.3134408602150538,0.4248655913978496
2008-06-01,0.1032258064516129,0.4145827481265509,0.095078164779169,0.1118922085530168,0.1945307644499687,0.3105038428693423,0.0859184142393596,0.0244373116796562,0.2620967741935484,0.38602150537634405
2008-07-01,0.1806451612903226,0.8432203544331074,0.1147350478869047,0.1036906854130051,0.1410814170292105,0.2606319385140905,0.0642114458108565,0.1083988948654638,0.2158602150537634,0.34677419354838707
2008-08-01,0.2096774193548387,0.6750576632725027,0.2123072262178951,0.1224370240187461,0.1168427594779364,0.225789923142613,0.0648941429943896,0.1698231491105856,0.1948924731182796,0.31935483870967746
2008-09-01,0.3274193548387096,0.9361162202438535,0.3212357549839446,0.203866432337434,0.1193287756370413,0.2034158838599487,0.1173174640619536,0.2142212978903784,0.19704301075268815,0.301747311827957
2008-10-01,0.1225806451612904,0.040790253952615,0.1582902444300881,0.1827768014059753,0.1037911746426349,0.1636208368915457,0.0852931011029598,0.1688145146003917,0.1836021505376344,0.27043010752688174
2008-11-01,0.0854838709677419,0.4656875024185566,0.1765656961052542,0.1376684241359108,0.0898073337476692,0.1280956447480785,0.052152625154381,0.1528681078099052,0.17150537634408602,0.24247311827956988
2008-12-01,0.1629032258064516,0.8483318278259644,0.2628710923151575,0.0779144698301111,0.10130515848353,0.1017933390264731,0.0626730374979687,0.2515058574682721,0.18145161290322578,0.2217741935483871
2009-01-01,0.1806451612903226,0.6415156686195373,0.2436885091067446,0.0990041007615701,0.10130515848353,0.0724167378309137,0.0842690660415469,0.3104196269259339,0.18145161290322578,0.1986559139784946
2009-02-01,0.1016129032258064,0.3445056567402046,0.2618397369186865,0.104862331575864,0.0804847731510252,0.0476515798462851,0.0769801251483021,0.2725193997992436,0.16344086021505375,0.17916666666666667
2009-03-01,0.1177419354838709,0.6398826744275458,0.298256311929189,0.0884592852958406,0.0400870105655686,0.0268146883005977,0.0838379740120628,0.2427914543727996,0.128494623655914,0.16276881720430106
2009-04-01,0.243548387096774,0.9972664410707284,0.5664095646640354,0.1113063854715875,0.0633934120571781,0.0310845431255335,0.1439931875936454,0.4287565029089886,0.14865591397849456,0.1661290322580645
2009-05-01,0.3016129032258066,0.7532224475395125,0.7019241698523092,0.1839484475688341,0.1050341827221874,0.0462852263023056,0.2190986297047764,0.4880090264371326,0.1846774193548387,0.17809139784946235
2009-06-01,0.3354838709677419,0.6785478167664893,0.8344475496511528,0.2630345635618044,0.1382846488502176,0.0708795900939367,0.2957322268697374,0.5999583713163641,0.21344086021505373,0.19744623655913976
2009-07-01,0.2580645161290322,0.3815495572951779,0.6143158174737428,0.2683069712946689,0.1532007458048474,0.0790777113578136,0.3297759905475849,0.5724287702932348,0.22634408602150535,0.20389784946236555
2009-08-01,0.2532258064516131,0.5725282349234077,0.570044715406123,0.2507322788517868,0.1824114356743316,0.0836891545687446,0.3580509413940739,0.6158911859388565,0.2516129032258065,0.2075268817204301
2009-09-01,0.3790322580645162,0.9447167321876264,0.5733575729336345,0.2665495020503806,0.2327532628962085,0.0891545687446626,0.4318610016301361,0.6465966632871569,0.29516129032258065,0.2118279569892473
2009-10-01,0.332258064516129,0.4671210187734159,0.7975804599731505,0.2934973637961334,0.2498446239900555,0.1113578138343296,0.4739581077761936,0.5879431896067062,0.30994623655913983,0.22930107526881718
2009-11-01,0.2806451612903227,0.4493973234361125,0.7890086242969339,0.3034563561804334,0.24580484773151,0.1320239111870198,0.4888633263724116,0.4603044851831955,0.3064516129032258,0.24556451612903227
2009-12-01,0.3629032258064517,0.8147213393572774,0.7734730017906284,0.2975981253661396,0.2510876320696082,0.1532023911187021,0.533915433660741,0.7152413137194797,0.31102150537634415,0.26223118279569896
2010-01-01,0.3935483870967742,0.6653809786963029,0.7851255813566862,0.3198594024604569,0.2771908017402111,0.1757472245943638,0.5821714369628362,0.7788562353322773,0.3336021505376345,0.2799731182795699
2010-02-01,0.3806451612903225,0.5537862964079812,0.8991143352293426,0.3561804335090802,0.3017402113113734,0.2052946199829204,0.6155953371727951,0.7131321998620826,0.3548387096774193,0.3032258064516129
2010-03-01,0.3806451612903225,0.5862526465921841,0.8707220972890508,0.3626244874048036,0.3020509633312616,0.233134073441503,0.6419932563682514,0.700265309409468,0.3551075268817205,0.32513440860215054
2010-04-01,0.3580645161290323,0.5288189673261086,0.6524359688603907,0.3497363796133567,0.3070229956494714,0.2452604611443209,0.6538785130788889,0.7788907594106761,0.3594086021505376,0.33467741935483875
2010-05-01,0.3806451612903225,0.6447999983094022,0.6054716437979573,0.3497363796133567,0.3262896208825354,0.2536293766011954,0.671672296691619,0.7832958716098523,0.37607526881720427,0.3412634408602151
2010-06-01,0.4193548387096775,0.684710382476886,0.6081120730227886,0.3637961335676626,0.3371659415786199,0.2625106746370624,0.7001118795421911,0.7159397196943345,0.3854838709677419,0.3482526881720431
2010-07-01,0.2870967741935484,0.2604784538228035,0.5506503600264642,0.3380199179847686,0.3166563082660034,0.2655849701110164,0.6706425601395151,0.4811977114792991,0.3677419354838709,0.3506720430107528
2010-08-01,0.3048387096774194,0.6352394847019768,0.5773237485832424,0.3104862331575865,0.3020509633312616,0.2710503842869343,0.6539791746637511,0.4624968909613187,0.3551075268817205,0.3549731182795699
2010-09-01,0.2935483870967743,0.555576893370245,0.4269728636172903,0.2647920328060925,0.2852703542573023,0.2619982920580699,0.6363439230565339,0.5420128719673138,0.3405913978494624,0.3478494623655914
2010-10-01,0.2854838709677421,0.5641164987393187,0.4655917353231351,0.264206209724663,0.2712865133623365,0.2570452604611444,0.6193920873298037,0.5377295668733427,0.32849462365591403,0.34395161290322585
2010-11-01,0.3483870967741935,0.7601897989084361,0.5942588846227146,0.2800234329232572,0.2650714729645744,0.2642186165670366,0.6305341891900139,0.4543962258347052,0.32311827956989253,0.3495967741935484
2010-12-01,0.3951612903225807,0.7085455885569814,0.5510404763703078,0.3169302870533098,0.2604101926662523,0.2676345004269855,0.6573408456374312,0.5853296485357139,0.3190860215053764,0.35228494623655915
2011-01-01,0.3903225806451613,0.5740941073956843,0.5133648855936164,0.3550087873462214,0.2802983219390926,0.2672929120409906,0.6762127654049238,0.6653445179641075,0.33629032258064523,0.3520161290322581
2011-02-01,0.4435483870967742,0.7205373214106716,0.5826536815055344,0.3895723491505564,0.3070229956494719,0.2739538855678904,0.7110427492802218,0.628582200407371,0.35940860215053766,0.357258064516129
2011-03-01,0.282258064516129,0.1966564443817526,0.4135679292145774,0.3485647334504979,0.3048477315102547,0.2635354397950469,0.6752606846322549,0.355874973653739,0.3575268817204302,0.3490591397849463
2011-04-01,0.3193548387096774,0.6891349029536791,0.4753427764989382,0.3227885178676041,0.3113735239279054,0.2594363791631087,0.6610620555160464,0.4224506341070977,0.36317204301075273,0.3458333333333334
2011-05-01,0.3919354838709676,0.7809112075103617,0.5285462407724282,0.3040421792618631,0.3197638284648847,0.2606319385140905,0.6776179904431026,0.5096280080334751,0.3704301075268817,0.34677419354838707
2011-06-01,0.346774193548387,0.4724674839008469,0.4430244471136861,0.3274751025190393,0.3104412678682406,0.2529461998292057,0.672679165425789,0.4853383813044851,0.3623655913978494,0.34072580645161293
2011-07-01,0.2209677419354838,0.2568667665415468,0.4414546088918264,0.2917398945518453,0.2778123057799873,0.2459436379163111,0.6198590511522868,0.3496174288884995,0.3341397849462365,0.33521505376344085
2011-08-01,0.0935483870967741,0.2117938164456586,0.2800981641950086,0.1833626244874048,0.2103791174642633,0.2235695986336463,0.5295051059236741,0.2254675957397285,0.2758064516129031,0.31760752688172045
2011-09-01,0.1532258064516128,0.7864618060614337,0.3579580549640471,0.1130638547158756,0.1855189558732131,0.2087105038428693,0.4829189076666056,0.3758780904712182,0.2543010752688171,0.3059139784946236
2011-10-01,0.1741935483870967,0.6522220875547066,0.3898734457288415,0.0960749853544228,0.1575512740832814,0.1969257045260461,0.4562280409335923,0.3792602234515673,0.23010752688172034,0.2966397849462365
2011-11-01,0.2209677419354838,0.7302686769323067,0.3794012718941087,0.1423550087873463,0.1246115599751396,0.1834329632792486,0.4553798775231443,0.4343835833694738,0.20161290322580636,0.286021505376344
2011-12-01,0.3209677419354839,0.8801317284793306,0.4398704095273278,0.2032806092560045,0.1196395276569297,0.1755764304013662,0.4953124978864246,0.5251102401939285,0.19731182795698918,0.27983870967741925
2012-01-01,0.403225806451613,0.806550069945078,0.5301277166766049,0.2864674868189808,0.1547545059042883,0.1769427839453459,0.559899473550497,0.5394400374138228,0.2276881720430107,0.2809139784946236
2012-02-01,0.4080645161290321,0.5983301288607075,0.4813833155172846,0.3544229642647919,0.2153511497824736,0.1731853116994022,0.6132134352958905,0.5076478446091826,0.2801075268817204,0.27795698924731177
2012-03-01,0.4225806451612903,0.6223407410200428,0.6771087401964248,0.3913298183948447,0.2672467371037912,0.1880444064901791,0.6608193309065149,0.5229239172600433,0.32499999999999996,0.28965053763440857
2012-04-01,0.4258064516129034,0.5941775037237613,0.6343822940330571,0.3995313415348566,0.3157240522063391,0.1993168232280104,0.6990570048427672,0.4824066576357725,0.36693548387096775,0.2985215053763441
2012-05-01,0.4725806451612904,0.7008622623602395,0.6004566134055633,0.422964264792033,0.3642013673088875,0.207856532877882,0.7463114990631209,0.6801527582914114,0.40887096774193554,0.30524193548387096
2012-06-01,0.3741935483870968,0.3539933721975039,0.5462990623451304,0.4053895723491506,0.3744561839651954,0.2107600341588387,0.7441174339715783,0.546171508089798,0.41774193548387095,0.3075268817204301
2012-07-01,0.3596774193548386,0.5491292379799194,0.6847236098076405,0.3813708260105449,0.3660658794282161,0.2254483347566183,0.735547449927488,0.4664207238378592,0.4104838709677419,0.3190860215053763
2012-08-01,0.3919354838709676,0.6697760371075598,0.9293037153869124,0.3520796719390743,0.3629583592293348,0.2570452604611444,0.7401159814216155,0.5412199413172957,0.40779569892473116,0.3439516129032258
2012-09-01,0.4564516129032256,0.7488028790083804,0.9099212863976932,0.381956649091974,0.3694841516469853,0.2891545687446626,0.7673649379435186,0.7459661255788815,0.4134408602150537,0.36922043010752686
2012-10-01,0.5258064516129031,0.7520673776095866,0.9629186391577758,0.4422964264792032,0.3887507768800498,0.3263877028181041,0.8139387457110296,0.9940428867066944,0.4301075268817203,0.39852150537634407
